paper_id,title,search_direction
p01,Serious Game for Industrial Cybersecurity: Experiential Learning Through Code Review,
p02,Identifying Personal Data Processing for Code Review,
p03,SeRe: A Security-Related Code Review Dataset Aligned with Real-World Review Activities,
p04,AgenticSCR: An Autonomous Agentic Secure Code Review for Immature Vulnerabilities Detection,
p05,BitsAI-CR: Automated Code Review via LLM in Practice,
p06,Automated Code Review for Secure Banking Applications,
p07,An Agentic-AI Solution for Intelligent Code Review,
p08,A Source Code Review Method for Discovering Security Flaws Efficiently,
p09,AI-Powered Code Review and Vulnerability Detection in DevOps Pipelines,
p10,Enhancing Software Security for Salesforce Applications,
p11,Pentesting and Secure Code Reviews: Strengthening API Security in Modern Software Products,
p12,PrAIoritize: Automated Early Prediction and Prioritization of Vulnerabilities in Smart Contracts,
p13,A Flexible Code Review Framework for Combining Defect Detection and Review Comments,
p14,Long-term Static Analysis Rule Quality Monitoring Using True Negatives,
p15,A code inspection process for security reviews,
p16,Improved Labeling of Security Defects in Code Review by Active Learning with LLMs.,
p17,Why Security Defects Go Unnoticed during Code Reviews? A Case-Control Study of the Chromium OS Project.,
p18,Predicting Likely-Vulnerable Code Changes: Machine Learning-based Vulnerability Protections for Android Open Source Project.,
p19,Cybersecurity awareness training for industrial software developers via a serious game for code review,
p20,Exploring Code Vulnerabilities through Code Reviews: An Empirical Study on OpenStack Nova,
p21,Code reviewing as methodology for online security studies with developers-a case study with freelancers on password storage,
p22,A {Mixed-Methods} study of security practices of smart contract developers,
p23,Less is More: Supporting Developers in Vulnerability Detection during Code Review.,
p24,iCodeReviewer: Improving Secure Code Review with Mixture of Prompts,Backward (candidate)
p25,SecureReviewer: Enhancing Large Language Models for Secure Code Review through Secure-aware Fine-tuning,Backward (candidate)
p26,Natural Language Insights from Code Reviews that Missed a Vulnerability: A Large Scale Study of Chromium,
p27,Identifying the Characteristics of Vulnerable Code Changes: An Empirical Study,
p28,A Security Perspective on Code Review: The Case of Chromium,
p29,Empirical analysis of security-related code reviews in npm packages,
p30,An empirical study on the effectiveness of security code review,
p31,An Empirical Study of Static Analysis Tools for Secure Code Review,
p32,Security Defect Detection via Code Review: A Study of the OpenStack and Qt Communities,
p33,Toward effective secure code reviews: an empirical study of security-related coding weaknesses,
p34,Software Security during Modern Code Review: The Developer’s Perspective,Backward (candidate)
p35,"An Insight into Security Code Review with LLMs: Capabilities, Obstacles, and Influential Factors",
p36,A large-scale study of modern code review and security in open source projects,
